state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
mps_chi2,percentile,4,4,,11,0.987470338851686,6.408761979268531
mps_chi2,lloyd,2,2,,12,0.8130878942783685,12.337349397590362
mps_chi2,topk,2,2,8.0,12,0.8261030406150268,11.636363636363637
mps_chi2,log,2,2,,12,0.7333041077722162,12.337349397590362
mps_chi2,percentile,2,2,,12,0.8287941671971109,11.361997226074896
mps_chi2,lloyd,3,3,,12,0.9496109082683024,8.752136752136753
mps_chi2,topk,3,3,8.0,12,0.9544416061758703,8.402051282051282
mps_chi2,log,3,3,,12,0.9223793249125245,8.752136752136753
mps_chi2,percentile,3,3,,12,0.9545747470443726,8.261187444850624
mps_chi2,lloyd,4,4,,12,0.9812885945170255,6.69281045751634
mps_chi2,topk,4,4,8.0,12,0.9838776093538086,6.491283676703645
mps_chi2,log,4,4,,12,0.9738419077668812,6.69281045751634
mps_chi2,percentile,4,4,,12,0.9842322037183876,6.408761979268531
mps_chi2,lloyd,2,2,,13,0.8296773742957924,12.337349397590362
mps_chi2,topk,2,2,8.0,13,0.8382456319131317,11.636363636363637
mps_chi2,log,2,2,,13,0.7660626311862192,12.337349397590362
mps_chi2,percentile,2,2,,13,0.8399859366874683,11.361997226074896
mps_chi2,lloyd,3,3,,13,0.9514078760745956,8.752136752136753
mps_chi2,topk,3,3,8.0,13,0.9532945845430565,8.402051282051282
mps_chi2,log,3,3,,13,0.9365892740357448,8.752136752136753
mps_chi2,percentile,3,3,,13,0.9540052721586704,8.261187444850624
mps_chi2,lloyd,4,4,,13,0.9853959588607758,6.69281045751634
mps_chi2,topk,4,4,8.0,13,0.9864516529760223,6.491283676703645
mps_chi2,log,4,4,,13,0.9828703499471323,6.69281045751634
mps_chi2,percentile,4,4,,13,0.9867773463157637,6.408761979268531
mps_chi2,lloyd,2,2,,14,0.8125118849119705,12.337349397590362
mps_chi2,topk,2,2,8.0,14,0.8284661390046884,11.636363636363637
mps_chi2,log,2,2,,14,0.7041299560785939,12.337349397590362
mps_chi2,percentile,2,2,,14,0.8326921404938155,11.361997226074896
mps_chi2,lloyd,3,3,,14,0.9450608862595961,8.752136752136753
mps_chi2,topk,3,3,8.0,14,0.9513858828613958,8.402051282051282
mps_chi2,log,3,3,,14,0.912676857976779,8.752136752136753
mps_chi2,percentile,3,3,,14,0.9538244743713077,8.261187444850624
mps_chi2,lloyd,4,4,,14,0.9792364999419316,6.69281045751634
mps_chi2,topk,4,4,8.0,14,0.9857300099234408,6.491283676703645
mps_chi2,log,4,4,,14,0.9602712370586531,6.69281045751634
mps_chi2,percentile,4,4,,14,0.9873418370086005,6.408761979268531
mps_chi2,lloyd,2,2,,15,0.792072429972934,12.337349397590362
mps_chi2,topk,2,2,8.0,15,0.7911640811251587,11.636363636363637
mps_chi2,log,2,2,,15,0.7510987592226097,12.337349397590362
mps_chi2,percentile,2,2,,15,0.7926533838628691,11.361997226074896
mps_chi2,lloyd,3,3,,15,0.9497315201265032,8.752136752136753
mps_chi2,topk,3,3,8.0,15,0.951612729891763,8.402051282051282
mps_chi2,log,3,3,,15,0.93513874159835,8.752136752136753
mps_chi2,percentile,3,3,,15,0.9523252402291624,8.261187444850624
mps_chi2,lloyd,4,4,,15,0.9850735754397311,6.69281045751634
mps_chi2,topk,4,4,8.0,15,0.9859735569487675,6.491283676703645
mps_chi2,log,4,4,,15,0.978416905212631,6.69281045751634
mps_chi2,percentile,4,4,,15,0.9856602387932252,6.408761979268531
mps_chi2,lloyd,2,2,,16,0.8173942751293476,12.337349397590362
mps_chi2,topk,2,2,8.0,16,0.8465856707200468,11.636363636363637
mps_chi2,log,2,2,,16,0.7248482889535834,12.337349397590362
mps_chi2,percentile,2,2,,16,0.8519835031979439,11.361997226074896
mps_chi2,lloyd,3,3,,16,0.9511475098327676,8.752136752136753
mps_chi2,topk,3,3,8.0,16,0.9632844738696784,8.402051282051282
mps_chi2,log,3,3,,16,0.9020876570820254,8.752136752136753
mps_chi2,percentile,3,3,,16,0.965065776945605,8.261187444850624
mps_chi2,lloyd,4,4,,16,0.975149886347699,6.69281045751634
mps_chi2,topk,4,4,8.0,16,0.9849875352418285,6.491283676703645
mps_chi2,log,4,4,,16,0.9577178218157063,6.69281045751634
mps_chi2,percentile,4,4,,16,0.9852950569390772,6.408761979268531
mps_chi2,lloyd,2,2,,17,0.8447999830188595,12.337349397590362
mps_chi2,topk,2,2,8.0,17,0.8481876783595654,11.636363636363637
mps_chi2,log,2,2,,17,0.8248065229823992,12.337349397590362
mps_chi2,percentile,2,2,,17,0.8479492686022679,11.361997226074896
mps_chi2,lloyd,3,3,,17,0.9599550249546329,8.752136752136753
mps_chi2,topk,3,3,8.0,17,0.9608665584440609,8.402051282051282
mps_chi2,log,3,3,,17,0.9553002872566595,8.752136752136753
mps_chi2,percentile,3,3,,17,0.9608463619811883,8.261187444850624
mps_chi2,lloyd,4,4,,17,0.9882177548393347,6.69281045751634
mps_chi2,topk,4,4,8.0,17,0.9887468619760175,6.491283676703645
mps_chi2,log,4,4,,17,0.9876074136990455,6.69281045751634
mps_chi2,percentile,4,4,,17,0.9890622007362044,6.408761979268531
mps_chi2,lloyd,2,2,,18,0.8210200208769517,12.337349397590362
mps_chi2,topk,2,2,8.0,18,0.8345239497064413,11.636363636363637
mps_chi2,log,2,2,,18,0.7299238131431474,12.337349397590362
mps_chi2,percentile,2,2,,18,0.8368584996213269,11.361997226074896
mps_chi2,lloyd,3,3,,18,0.9514654758552931,8.752136752136753
mps_chi2,topk,3,3,8.0,18,0.9543590770566577,8.402051282051282
mps_chi2,log,3,3,,18,0.9100376327823388,8.752136752136753
mps_chi2,percentile,3,3,,18,0.9548305879776351,8.261187444850624
mps_chi2,lloyd,4,4,,18,0.9826487176317413,6.69281045751634
mps_chi2,topk,4,4,8.0,18,0.9856473323900856,6.491283676703645
mps_chi2,log,4,4,,18,0.9689487766150775,6.69281045751634
mps_chi2,percentile,4,4,,18,0.9861157580120598,6.408761979268531
mps_chi2,lloyd,2,2,,19,0.8182938127271278,12.337349397590362
mps_chi2,topk,2,2,8.0,19,0.829712385567845,11.636363636363637
mps_chi2,log,2,2,,19,0.7306323100337689,12.337349397590362
mps_chi2,percentile,2,2,,19,0.8333242458281698,11.361997226074896
mps_chi2,lloyd,3,3,,19,0.9461010804815404,8.752136752136753
mps_chi2,topk,3,3,8.0,19,0.9509706510467983,8.402051282051282
mps_chi2,log,3,3,,19,0.9143345247592439,8.752136752136753
mps_chi2,percentile,3,3,,19,0.9531131092278347,8.261187444850624
mps_chi2,lloyd,4,4,,19,0.9817248591277481,6.69281045751634
mps_chi2,topk,4,4,8.0,19,0.9846051044566458,6.491283676703645
mps_chi2,log,4,4,,19,0.9645001951556768,6.69281045751634
mps_chi2,percentile,4,4,,19,0.9849806674532449,6.408761979268531
mps_chi4,lloyd,2,2,,0,0.8222051285365909,12.337349397590362
mps_chi4,topk,2,2,8.0,0,0.8358439659325108,11.636363636363637
mps_chi4,log,2,2,,0,0.7915434848815632,12.337349397590362
mps_chi4,percentile,2,2,,0,0.8361546826467698,11.361997226074896
mps_chi4,lloyd,3,3,,0,0.9473507123174044,8.752136752136753
mps_chi4,topk,3,3,8.0,0,0.952768454433076,8.402051282051282
mps_chi4,log,3,3,,0,0.9353507023034537,8.752136752136753
mps_chi4,percentile,3,3,,0,0.9524352986395482,8.261187444850624
mps_chi4,lloyd,4,4,,0,0.9844369826544795,6.69281045751634
mps_chi4,topk,4,4,8.0,0,0.9859830485784565,6.491283676703645
mps_chi4,log,4,4,,0,0.9800541947897152,6.69281045751634
mps_chi4,percentile,4,4,,0,0.9866939558335488,6.408761979268531
mps_chi4,lloyd,2,2,,1,0.8316405550455501,12.337349397590362
mps_chi4,topk,2,2,8.0,1,0.8388279890864807,11.636363636363637
mps_chi4,log,2,2,,1,0.7969031156390204,12.337349397590362
mps_chi4,percentile,2,2,,1,0.8397477850244869,11.361997226074896
mps_chi4,lloyd,3,3,,1,0.9534557034344153,8.752136752136753
mps_chi4,topk,3,3,8.0,1,0.9552766072596977,8.402051282051282
mps_chi4,log,3,3,,1,0.9463327431450786,8.752136752136753
mps_chi4,percentile,3,3,,1,0.9561053706070469,8.261187444850624
mps_chi4,lloyd,4,4,,1,0.9873520032433448,6.69281045751634
mps_chi4,topk,4,4,8.0,1,0.9874248785613555,6.491283676703645
mps_chi4,log,4,4,,1,0.9813065260917172,6.69281045751634
mps_chi4,percentile,4,4,,1,0.9883568709390399,6.408761979268531
mps_chi4,lloyd,2,2,,2,0.8135204795210609,12.337349397590362
mps_chi4,topk,2,2,8.0,2,0.8250921015069465,11.636363636363637
mps_chi4,log,2,2,,2,0.7071983567891745,12.337349397590362
mps_chi4,percentile,2,2,,2,0.8271672311030008,11.361997226074896
mps_chi4,lloyd,3,3,,2,0.9535816260121013,8.752136752136753
mps_chi4,topk,3,3,8.0,2,0.9553296390722538,8.402051282051282
mps_chi4,log,3,3,,2,0.8890083710944994,8.752136752136753
mps_chi4,percentile,3,3,,2,0.9581267680134087,8.261187444850624
mps_chi4,lloyd,4,4,,2,0.9835883485456979,6.69281045751634
mps_chi4,topk,4,4,8.0,2,0.9835984073750988,6.491283676703645
mps_chi4,log,4,4,,2,0.9678947222656403,6.69281045751634
mps_chi4,percentile,4,4,,2,0.9860916704840318,6.408761979268531
mps_chi4,lloyd,2,2,,3,0.8333936392547112,12.337349397590362
mps_chi4,topk,2,2,8.0,3,0.8372303109463008,11.636363636363637
mps_chi4,log,2,2,,3,0.7816136718098283,12.337349397590362
